2025-06-11 00:23:11 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:12 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:12 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:12 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:12 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:12 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:12 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:12 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:12 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:12 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:12 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:12 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:12 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:12 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:12 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:12 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:12 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:12 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:12 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:12 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:12 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:12 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:13 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:13 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:13 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:13 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:13 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
